clade	mut_type	logSize	scaled	min_ci	max_ci
19A	missense	0.16566797918516285	1.0722707780557874	0.55233372723872	2.886884884187949
19A	nonsense	0.28266325373222234	1.8295119461104359	0.7776449039248463	5.123262280245136
19B	missense	0.2730202351854695	0.9053170126545371	0.497051513166544	2.034389130592397
19B	nonsense	0.1971730345302294	0.6538127200559875	0.23285402966450158	1.6103646916910976
20A	missense	0.2954523910190217	1.1219612213979082	0.9748296933593021	1.2967173204495663
20A	nonsense	0.3607241772557581	1.3698265805388912	1.092137550131617	1.694856818477783
20B	missense	0.2936608254978991	0.9520214644214419	0.8255559295240948	1.1085828500970938
20B	nonsense	0.324870174194939	1.0531993106657238	0.8279684375003746	1.3216709301503753
20C	missense	0.29942560559023906	0.9326112838297163	0.7656552125570335	1.149171271674125
20C	nonsense	0.35822284544081817	1.1157451518721624	0.8292597498200782	1.4806561710052615
20D	missense	0.27193477277202327	0.5807325132716039	0.3556653204705185	1.0508416747465112
20D	nonsense	0.2808675395383188	0.5998089559117985	0.17611880856893206	1.3315632586430954
20E (EU1)	missense	0.2656020226446814	0.9245634343358009	0.7402980312752557	1.1634453172406019
20E (EU1)	nonsense	0.3161944718049164	1.1006762819763567	0.7742167057344281	1.5187393924262231
20F	missense	0.2531335947800184	0.670443659636505	0.25792863750973494	1.8867636099952998
20G	missense	0.24340964911337032	0.7877646240099246	0.6722265289244919	0.9313432459497464
20G	nonsense	0.22630184437307835	0.732397372062594	0.4919626808149236	1.0256630617794782
20H (Beta,V2)	missense	0.31129095222990366	0.94038127247368	0.6223939230141228	1.5936171210992867
20H (Beta,V2)	nonsense	0.2247140676259851	0.6788404845791745	0.26249829672437924	1.4217346220329485
20I (Alpha,V1)	missense	0.3001628786660292	1.0306817296415114	0.9486343317843701	1.1257013311715707
20I (Alpha,V1)	nonsense	0.36916640223948255	1.2676219913558082	1.130464005759188	1.4249577045001556
20J (Gamma,V3)	missense	0.1943653562860274	0.9392072771910973	0.7120113541280622	1.2645023886566762
20J (Gamma,V3)	nonsense	0.1873766050628801	0.9054364132229386	0.4733667662522004	1.5132854194343333
21A (Delta)	missense	0.07930181445726474	1.2869974826472002	0.4811126514185723	20.0
21A (Delta)	nonsense	0.11660419017879814	1.8923816592759048	0.41342891364963513	20.0
21B (Kappa)	missense	0.3445376051312244	1.3641723846564326	0.5436116187707154	4.750542644849285
21B (Kappa)	nonsense	0.1505149978319906	0.595953534421361	0.0	20.0
21C (Epsilon)	missense	0.282319655886085	0.9259184580296275	0.7282180663030186	1.2214148282801547
21C (Epsilon)	nonsense	0.23670006134050736	0.7763007330256634	0.4621363148337176	1.1915108158272936
21D (Eta)	missense	0.30485506356419556	0.9171276615180047	0.44400577039019434	2.7250331292795478
21D (Eta)	nonsense	0.2840336111963653	0.8544882889051384	0.17182994371958651	2.886753800553339
21E (Theta)	missense	0.12041199826559248	0.1261859507142915	0.0	20.0
21F (Iota)	missense	0.22491854677334897	0.9604511682586244	0.6826554277289943	1.44462263688513
21F (Iota)	nonsense	0.3229611046757451	1.3791142381890498	0.8263995194545325	2.2456246445895043
21G (Lambda)	missense	0.32173396224425954	1.5590130823436488	0.5972727652495988	20.0
21G (Lambda)	nonsense	0.1505149978319906	0.7293443597690503	0.0	20.0
21H (Mu)	missense	0.24298746463311538	1.4066976220843115	0.7594781479074304	4.350791846801079
21H (Mu)	nonsense	0.38032701037155875	2.2017806635083272	0.78552117163858	7.30677142663718
21I (Delta)	missense	0.2734992751159784	1.0549322794649845	0.9163116327143546	1.2196429457684386
21I (Delta)	nonsense	0.2777969085324777	1.071508967700995	0.8447853931723466	1.3420424602993144
21J (Delta)	missense	0.30947806668259953	1.1423407175479974	1.0963305656314146	1.191293039139401
21J (Delta)	nonsense	0.30741821063401126	1.1347374083318933	1.0576707816029598	1.2133561943433178
21K (Omicron)	missense	0.19386704194517212	0.9466615872466325	0.8765373686356144	1.0244844571527563
21K (Omicron)	nonsense	0.19861290673765486	0.969835860976874	0.828296115401771	1.1262381964541373
21L (Omicron)	missense	0.23604032679331327	0.8855867675683057	0.8162178780142139	0.9658984380356663
21L (Omicron)	nonsense	0.30461757195558187	1.1428779757997336	0.9929454371349715	1.3108499804458746
21M (Omicron)	missense	0.4206859981113625	inf	0.0	20.0
21M (Omicron)	nonsense	0.3010299956639812	inf	0.0	20.0
22A (Omicron)	missense	0.1984952341532482	0.936433994648574	0.7463106580635912	1.1852088920534165
22A (Omicron)	nonsense	0.20678699712840068	0.9755517536145473	0.6558819026627151	1.375420085111067
22B (Omicron)	missense	0.25222414097997214	1.0345404838240773	0.9594868820418638	1.1169337565444988
22B (Omicron)	nonsense	0.26032960390752785	1.0677864273174775	0.9355526827398719	1.2105401728444256
22C (Omicron)	missense	0.1662052541136259	0.8827724074672902	0.7254750527479766	1.0792292455165289
22C (Omicron)	nonsense	0.297951081988477	1.582519128875653	1.0864063087871332	2.207431558091654
22D (Omicron)	missense	0.24907556664341238	0.9746394086526763	0.773788109567228	1.247366084616069
22D (Omicron)	nonsense	0.21575516926699703	0.8442557952269771	0.5015817136634008	1.294123891674182
22E (Omicron)	missense	0.24381304752600663	0.9830919704228325	0.8496078289099711	1.1491093476635375
22E (Omicron)	nonsense	0.23525424439144493	0.9485815505605817	0.717515687407075	1.219391473781799
22F (Omicron)	missense	0.21731285905929695	0.8598425548909754	0.752280046498572	0.9889369606042643
22F (Omicron)	nonsense	0.2590002980901377	1.0247873917418822	0.7688674732513066	1.338054518870783
