Variable	Fold_change	2.5 %	97.5 %	Gene
(Intercept)	17.725880175685	13.5223853269077	23.8679916936941	ORF1a
mut_typemissense	0.888177758432119	0.60731137453024	1.2904710022399	ORF1a
mut_typenonsense	0.00494860097008757	4.25841030589983e-05	NA	ORF1a
(Intercept)	13.701028207968	9.70648475105623	20.2245156203403	ORF1b
mut_typemissense	1.50226518910522	0.902522295578849	2.48987276451362	ORF1b
mut_typenonsense	0.00186573253965588	1.18359113533815e-05	NA	ORF1b
(Intercept)	8.44672150756296	6.20349288464247	11.9154907602623	Spike
mut_typemissense	5.49855986208294	3.5711765797476	8.3774947429197	Spike
mut_typenonsense	0.0196825814468021	0.000276222635226304	NA	Spike
(Intercept)	20.5963965923786	9.77879315750948	55.4195689068491	ORF3a
mut_typemissense	0.731337446878069	0.243129396961229	1.89410395292897	ORF3a
mut_typenonsense	0.0694582803935696	0.00266209892634654	NA	ORF3a
(Intercept)	3.321954654434	1.20728613495888	15.2193022494923	E
mut_typemissense	14.0826506639151	2.50577688895981	64.7570851988421	E
(Intercept)	20.2722242075928	12.2136651776535	37.2964919300514	M
mut_typemissense	4.64545574590281	2.00235807587672	11.1632399016353	M
mut_typenonsense	0.0179295772139945	8.85969208423675e-05	NA	M
(Intercept)	52.7308454602489	20.1307111894667	216.85728586097	ORF6
mut_typemissense	0.70436541613908	0.135916955119016	3.23174958369078	ORF6
mut_typenonsense	0.0223291479069672	0.00113001307516701	NA	ORF6
(Intercept)	9.63855179639088	3.65967571186151	40.10581908749	ORF7a
mut_typemissense	2.24142591474522	0.480916625060543	7.65214927399468	ORF7a
mut_typenonsense	0.350761099339782	0.0379299755622481	14.4085109290476	ORF7a
(Intercept)	116.247247991908	29.3079316753913	1427.72863159763	ORF7b
mut_typemissense	0.357997101720269	0.0250048200552632	2.4641499399568	ORF7b
mut_typenonsense	0.040161583279091	0.00113446196698643	267.128005727837	ORF7b
(Intercept)	6.23647392369599	5.96650682448594	6.52286190001654	ORF8
mut_typemissense	1.86069162709221	1.76823249056615	1.95709776352714	ORF8
mut_typenonsense	6.28556671769301	5.77730031853342	6.84593637022156	ORF8
(Intercept)	7.89570019317593	5.17227578506622	12.9200362969381	N
mut_typemissense	4.51267524053297	2.4775379047075	8.01603605699458	N
mut_typenonsense	0.0461822211020097	0.000723261108438471	NA	N
(Intercept)	5.45212185298618	2.07178654802655	22.6463283114801	ORF9b
mut_typemissense	6.82602147588009	1.46983779115474	23.1768682264095	ORF9b
mut_typenonsense	0.0903951656870202	0.00421053591537103	NA	ORF9b
